Round	Proposer0	Proposer1	Responder
1	20	15	115
2	20	15	115
3	20	15	115
4	20	15	115
5	20	15	115
6	20	15	115
7	20	15	115
8	20	15	115
9	20	15	115
10	20	15	115
11	20	15	115
12	20	15	115
13	20	15	115
14	20	15	115
15	20	15	115
16	20	15	115
17	20	15	115
18	20	15	115
19	20	15	115
20	20	15	115
21	20	15	115
22	20	15	115
23	20	15	115
24	20	15	115
25	20	15	115
26	20	15	115
27	20	15	115
28	20	15	115
29	20	15	115
30	20	15	115
31	20	15	115
32	20	15	115
33	20	15	115
34	20	15	115
35	20	15	115
36	20	15	115
37	20	15	115
38	20	15	115
39	20	15	115
40	20	15	115
41	20	15	115
42	20	15	115
43	20	15	115
44	20	15	115
45	20	15	115
46	20	15	115
47	20	15	115
48	20	15	115
49	20	15	115
50	20	15	115
51	20	15	115
52	20	15	115
53	20	15	115
54	20	15	115
55	20	15	115
56	20	15	115
57	20	15	115
58	20	15	115
59	20	15	115
60	20	15	115
61	20	15	115
62	20	15	115
63	20	15	115
64	20	15	115
65	20	15	115
66	20	15	115
67	20	15	115
68	20	15	115
69	20	15	115
70	20	15	115
71	20	15	115
72	20	15	115
73	20	15	115
74	20	15	115
75	20	15	115
76	20	15	115
77	20	15	115
78	20	15	115
79	20	15	115
80	20	15	115
81	20	15	115
82	20	15	115
83	20	15	115
84	20	15	115
85	20	15	115
86	20	15	115
87	20	15	115
88	20	15	115
89	20	15	115
90	20	15	115
91	20	15	115
92	20	15	115
93	20	15	115
94	20	15	115
95	20	15	115
96	20	15	115
97	20	15	115
98	20	15	115
99	20	15	115
100	20	15	115
101	20	15	115
102	20	15	115
103	20	15	115
104	20	15	115
105	20	15	115
106	20	15	115
107	20	15	115
108	20	15	115
109	20	15	115
110	20	15	115
111	20	15	115
112	20	15	115
113	20	15	115
114	20	15	115
115	20	15	115
116	20	15	115
117	20	15	115
118	20	15	115
119	20	15	115
120	20	15	115
121	20	15	115
122	20	15	115
123	20	15	115
124	20	15	115
125	20	15	115
126	20	15	115
127	20	15	115
128	20	15	115
129	20	15	115
130	20	15	115
131	20	15	115
132	20	15	115
133	20	15	115
134	20	15	115
135	20	15	115
136	20	15	115
137	20	15	115
138	20	15	115
139	20	15	115
140	20	15	115
141	20	15	115
142	20	15	115
143	20	15	115
