2015-06-08 18:07:03,160 CONFIG [com.gigaspaces.logger] - Log file: /Users/dxd/git/ct3/logs/2015-06-08~18.07-gigaspaces-service-10.154.152.106-77023.log
-------------------------last log tuples start--------------------------------
Position [subject=a20, id=null, cell=Cell [x=2, y=0], time=2015-06-08 18:04:41.749, clock=0]
Position [subject=a30, id=null, cell=Cell [x=5, y=5], time=2015-06-08 18:04:42.855, clock=0]
Position [subject=a40, id=null, cell=Cell [x=4, y=0], time=2015-06-08 18:04:43.915, clock=0]
Position [subject=a20, id=null, cell=Cell [x=4, y=4], time=2015-06-08 18:04:41.747, clock=0]
Position [subject=a30, id=null, cell=Cell [x=1, y=2], time=2015-06-08 18:04:43.475, clock=0]
Tile [id=null, cell=Cell [x=5, y=1], subject=brown, time=2015-06-08 18:04:41.082, clock=0]
Position [subject=a30, id=null, cell=Cell [x=4, y=1], time=2015-06-08 18:04:42.857, clock=0]
Position [subject=a30, id=null, cell=Cell [x=3, y=1], time=2015-06-08 18:04:43.867, clock=0]
Position [subject=a40, id=null, cell=Cell [x=2, y=2], time=2015-06-08 18:04:43.892, clock=0]
Position [subject=a20, id=null, cell=Cell [x=1, y=2], time=2015-06-08 18:04:42.849, clock=0]
Goal [id=null, cell=Cell [x=3, y=1], agent=null, time=2015-06-08 18:04:41.088, clock=0]
Position [subject=a10, id=null, cell=Cell [x=4, y=1], time=2015-06-08 18:04:41.508, clock=0]
Position [subject=a10, id=null, cell=Cell [x=5, y=5], time=2015-06-08 18:04:41.554, clock=0]
Position [subject=a30, id=null, cell=Cell [x=0, y=0], time=2015-06-08 18:04:42.852, clock=0]
Position [subject=a10, id=null, cell=Cell [x=0, y=4], time=2015-06-08 18:04:41.073, clock=0]
Tile [id=null, cell=Cell [x=5, y=2], subject=blue, time=2015-06-08 18:04:40.861, clock=0]
Position [subject=a40, id=null, cell=Cell [x=5, y=2], time=2015-06-08 18:04:43.5, clock=0]
Position [subject=a20, id=null, cell=Cell [x=5, y=2], time=2015-06-08 18:04:42.84, clock=0]
Position [subject=a40, id=null, cell=Cell [x=2, y=4], time=2015-06-08 18:04:43.905, clock=0]
Tile [id=null, cell=Cell [x=5, y=0], subject=white, time=2015-06-08 18:04:40.651, clock=0]
Tile [id=null, cell=Cell [x=5, y=4], subject=white, time=2015-06-08 18:04:40.961, clock=0]
Tile [id=null, cell=Cell [x=3, y=5], subject=blue, time=2015-06-08 18:04:40.698, clock=0]
Position [subject=a10, id=null, cell=Cell [x=2, y=2], time=2015-06-08 18:04:41.538, clock=0]
Position [subject=a20, id=null, cell=Cell [x=1, y=5], time=2015-06-08 18:04:41.695, clock=0]
Position [subject=a10, id=null, cell=Cell [x=3, y=2], time=2015-06-08 18:04:41.173, clock=0]
Position [subject=a10, id=null, cell=Cell [x=5, y=4], time=2015-06-08 18:04:41.115, clock=0]
Position [subject=a20, id=null, cell=Cell [x=2, y=4], time=2015-06-08 18:04:42.835, clock=0]
Position [subject=a40, id=null, cell=Cell [x=1, y=4], time=2015-06-08 18:04:43.9, clock=0]
Tile [id=null, cell=Cell [x=4, y=5], subject=brown, time=2015-06-08 18:04:40.703, clock=0]
Tile [id=null, cell=Cell [x=5, y=1], subject=blue, time=2015-06-08 18:04:40.709, clock=0]
Position [subject=a10, id=null, cell=Cell [x=3, y=1], time=2015-06-08 18:04:41.062, clock=0]
Position [subject=a40, id=null, cell=Cell [x=0, y=1], time=2015-06-08 18:04:43.493, clock=0]
Position [subject=a40, id=null, cell=Cell [x=4, y=4], time=2015-06-08 18:04:43.474, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=yellow, time=2015-06-08 18:04:40.652, clock=0]
Position [subject=a20, id=null, cell=Cell [x=4, y=3], time=2015-06-08 18:04:42.858, clock=0]
Position [subject=a30, id=null, cell=Cell [x=0, y=1], time=2015-06-08 18:04:42.84, clock=0]
Position [subject=a30, id=null, cell=Cell [x=2, y=4], time=2015-06-08 18:04:42.85, clock=0]
Tile [id=null, cell=Cell [x=5, y=5], subject=brown, time=2015-06-08 18:04:40.702, clock=0]
Tile [id=null, cell=Cell [x=5, y=3], subject=brown, time=2015-06-08 18:04:40.873, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=blue, time=2015-06-08 18:04:40.647, clock=0]
Position [subject=a20, id=null, cell=Cell [x=5, y=2], time=2015-06-08 18:04:41.746, clock=0]
Position [subject=a10, id=null, cell=Cell [x=2, y=0], time=2015-06-08 18:04:41.286, clock=0]
Position [subject=a30, id=null, cell=Cell [x=5, y=5], time=2015-06-08 18:04:43.476, clock=0]
Position [subject=a30, id=null, cell=Cell [x=0, y=1], time=2015-06-08 18:04:43.891, clock=0]
Position [subject=a40, id=null, cell=Cell [x=1, y=1], time=2015-06-08 18:04:43.494, clock=0]
Position [subject=a20, id=null, cell=Cell [x=0, y=4], time=2015-06-08 18:04:41.551, clock=0]
Tile [id=null, cell=Cell [x=5, y=2], subject=blue, time=2015-06-08 18:04:41.085, clock=0]
Goal [id=null, cell=Cell [x=2, y=4], agent=null, time=2015-06-08 18:04:41.118, clock=0]
Position [subject=a10, id=null, cell=Cell [x=1, y=1], time=2015-06-08 18:04:40.955, clock=0]
Tile [id=null, cell=Cell [x=5, y=1], subject=brown, time=2015-06-08 18:04:40.699, clock=0]
Goal [id=null, cell=Cell [x=2, y=4], agent=null, time=2015-06-08 18:04:41.263, clock=0]
Position [subject=a40, id=null, cell=Cell [x=4, y=3], time=2015-06-08 18:04:43.875, clock=0]
Goal [id=null, cell=Cell [x=1, y=4], agent=null, time=2015-06-08 18:04:40.8, clock=0]
