-------------------------last log tuples start--------------------------------
Time [clock=7, time=2015-05-28 12:12:42.513]
org notification: Time [clock=7, time=2015-05-28 12:12:42.513]
org notification: Time [clock=7, time=2015-05-28 12:12:42.513]
org notification: Time [clock=7, time=2015-05-28 12:12:42.513]
org notification: Time [clock=31, time=2015-05-28 12:12:44.301]
org notification: Time [clock=31, time=2015-05-28 12:12:44.301]
Time [clock=31, time=2015-05-28 12:12:44.301]
org notification: Time [clock=31, time=2015-05-28 12:12:44.301]
org notification: Time [clock=7, time=2015-05-28 12:12:42.513]
org notification: Time [clock=7, time=2015-05-28 12:12:42.513]
org notification: Time [clock=31, time=2015-05-28 12:12:44.301]
org notification: Time [clock=31, time=2015-05-28 12:12:44.301]
Time [clock=2, time=2015-05-28 12:12:47.465]
org notification: Time [clock=2, time=2015-05-28 12:12:47.465]
org notification: Time [clock=2, time=2015-05-28 12:12:47.465]
org notification: Time [clock=2, time=2015-05-28 12:12:47.465]
org notification: Time [clock=2, time=2015-05-28 12:12:47.465]
org notification: Time [clock=2, time=2015-05-28 12:12:47.465]
Time [clock=17, time=2015-05-28 12:12:39.059]
org notification: Time [clock=17, time=2015-05-28 12:12:39.059]
org notification: Time [clock=17, time=2015-05-28 12:12:39.059]
org notification: Time [clock=17, time=2015-05-28 12:12:39.059]
org notification: Time [clock=17, time=2015-05-28 12:12:39.059]
org notification: Time [clock=17, time=2015-05-28 12:12:39.059]
Time [clock=4, time=2015-05-28 12:12:30.308]
org notification: Time [clock=4, time=2015-05-28 12:12:30.308]
org notification: Time [clock=4, time=2015-05-28 12:12:30.308]
org notification: Time [clock=4, time=2015-05-28 12:12:30.308]
org notification: Time [clock=4, time=2015-05-28 12:12:30.308]
org notification: Time [clock=4, time=2015-05-28 12:12:30.308]
Time [clock=5, time=2015-05-28 12:12:40.311]
org notification: Time [clock=5, time=2015-05-28 12:12:40.311]
org notification: Time [clock=5, time=2015-05-28 12:12:40.311]
org notification: Time [clock=5, time=2015-05-28 12:12:40.311]
org notification: Time [clock=5, time=2015-05-28 12:12:40.311]
org notification: Time [clock=5, time=2015-05-28 12:12:40.311]
Time [clock=16, time=2015-05-28 12:12:29.056]
org notification: Time [clock=16, time=2015-05-28 12:12:29.056]
org notification: Time [clock=16, time=2015-05-28 12:12:29.056]
org notification: Time [clock=16, time=2015-05-28 12:12:29.056]
org notification: Time [clock=16, time=2015-05-28 12:12:29.056]
org notification: Time [clock=16, time=2015-05-28 12:12:29.056]
Time [clock=1, time=2015-05-28 12:12:37.462]
org notification: Time [clock=1, time=2015-05-28 12:12:37.462]
org notification: Time [clock=1, time=2015-05-28 12:12:37.462]
org notification: Time [clock=1, time=2015-05-28 12:12:37.462]
