-------------------------last log tuples start--------------------------------
Time [clock=2, time=null]
Time [clock=3, time=null]
Goal [id=null, cell=Cell [x=3, y=3], agent=null, time=2015-04-21 20:05:49.133, clock=0]
Goal [id=null, cell=Cell [x=3, y=3], agent=null, time=2015-04-21 20:05:28.613, clock=0]
Goal [id=null, cell=Cell [x=3, y=3], agent=null, time=2015-04-21 20:05:28.409, clock=0]
Goal [id=null, cell=Cell [x=3, y=3], agent=null, time=2015-04-21 20:05:48.99, clock=0]
Goal [id=null, cell=Cell [x=3, y=3], agent=null, time=2015-04-21 20:04:34.037, clock=0]
Goal [id=null, cell=Cell [x=3, y=3], agent=null, time=2015-04-21 20:05:15.966, clock=0]
Goal [id=null, cell=Cell [x=3, y=3], agent=null, time=2015-04-21 20:04:54.96, clock=0]
Tile [id=null, cell=Cell [x=4, y=1], subject=purple, time=2015-04-21 20:05:49.126, clock=0]
Time [clock=7, time=null]
Time [clock=8, time=null]
Tile [id=null, cell=Cell [x=4, y=0], subject=green, time=2015-04-21 20:05:49.125, clock=0]
Tile [id=null, cell=Cell [x=4, y=3], subject=purple, time=2015-04-21 20:05:49.128, clock=0]
Time [clock=9, time=null]
Time [clock=1, time=null]
Time [clock=10, time=null]
Time [clock=6, time=null]
Time [clock=4, time=null]
Time [clock=5, time=null]
Tile [id=null, cell=Cell [x=0, y=3], subject=orange, time=2015-04-21 20:05:49.106, clock=0]
Tile [id=null, cell=Cell [x=3, y=0], subject=red, time=2015-04-21 20:05:48.975, clock=0]
Tile [id=null, cell=Cell [x=3, y=0], subject=red, time=2015-04-21 20:05:49.12, clock=0]
Tile [id=null, cell=Cell [x=3, y=4], subject=orange, time=2015-04-21 20:05:49.124, clock=0]
Tile [id=null, cell=Cell [x=1, y=2], subject=red, time=2015-04-21 20:05:49.112, clock=0]
Tile [id=null, cell=Cell [x=1, y=4], subject=purple, time=2015-04-21 20:05:49.114, clock=0]
Tile [id=null, cell=Cell [x=0, y=1], subject=green, time=2015-04-21 20:05:49.102, clock=0]
Tile [id=null, cell=Cell [x=1, y=0], subject=green, time=2015-04-21 20:05:49.11, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=purple, time=2015-04-21 20:05:49.123, clock=0]
Tile [id=null, cell=Cell [x=2, y=2], subject=green, time=2015-04-21 20:05:49.117, clock=0]
Tile [id=null, cell=Cell [x=4, y=2], subject=orange, time=2015-04-21 20:05:49.127, clock=0]
Tile [id=null, cell=Cell [x=0, y=0], subject=green, time=2015-04-21 20:05:49.1, clock=0]
Tile [id=null, cell=Cell [x=2, y=4], subject=red, time=2015-04-21 20:05:49.119, clock=0]
Tile [id=null, cell=Cell [x=2, y=4], subject=red, time=2015-04-21 20:05:28.389, clock=0]
Tile [id=null, cell=Cell [x=3, y=2], subject=purple, time=2015-04-21 20:05:49.122, clock=0]
Tile [id=null, cell=Cell [x=4, y=2], subject=orange, time=2015-04-21 20:05:48.982, clock=0]
Tile [id=null, cell=Cell [x=3, y=2], subject=purple, time=2015-04-21 20:05:28.391, clock=0]
Tile [id=null, cell=Cell [x=3, y=3], subject=purple, time=2015-04-21 20:05:48.978, clock=0]
Tile [id=null, cell=Cell [x=4, y=1], subject=purple, time=2015-04-21 20:05:48.982, clock=0]
Tile [id=null, cell=Cell [x=2, y=3], subject=purple, time=2015-04-21 20:05:49.118, clock=0]
Tile [id=null, cell=Cell [x=4, y=3], subject=purple, time=2015-04-21 20:05:48.983, clock=0]
Tile [id=null, cell=Cell [x=0, y=2], subject=red, time=2015-04-21 20:05:48.958, clock=0]
Tile [id=null, cell=Cell [x=1, y=1], subject=orange, time=2015-04-21 20:05:48.964, clock=0]
Tile [id=null, cell=Cell [x=4, y=4], subject=green, time=2015-04-21 20:05:49.129, clock=0]
Tile [id=null, cell=Cell [x=1, y=3], subject=red, time=2015-04-21 20:05:49.113, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=orange, time=2015-04-21 20:05:48.976, clock=0]
Tile [id=null, cell=Cell [x=1, y=0], subject=green, time=2015-04-21 20:05:28.58, clock=0]
Tile [id=null, cell=Cell [x=2, y=0], subject=red, time=2015-04-21 20:05:49.115, clock=0]
Tile [id=null, cell=Cell [x=3, y=0], subject=red, time=2015-04-21 20:05:15.953, clock=0]
Tile [id=null, cell=Cell [x=2, y=4], subject=red, time=2015-04-21 20:05:48.974, clock=0]
Tile [id=null, cell=Cell [x=0, y=2], subject=red, time=2015-04-21 20:05:49.104, clock=0]
Tile [id=null, cell=Cell [x=2, y=2], subject=green, time=2015-04-21 20:05:15.95, clock=0]
Tile [id=null, cell=Cell [x=0, y=4], subject=green, time=2015-04-21 20:05:48.961, clock=0]
Tile [id=null, cell=Cell [x=4, y=0], subject=green, time=2015-04-21 20:05:48.981, clock=0]
Tile [id=null, cell=Cell [x=2, y=3], subject=purple, time=2015-04-21 20:05:48.973, clock=0]
Tile [id=null, cell=Cell [x=2, y=0], subject=red, time=2015-04-21 20:05:48.969, clock=0]
Tile [id=null, cell=Cell [x=3, y=1], subject=orange, time=2015-04-21 20:05:49.121, clock=0]
Tile [id=null, cell=Cell [x=4, y=2], subject=orange, time=2015-04-21 20:05:28.603, clock=0]
Tile [id=null, cell=Cell [x=1, y=1], subject=orange, time=2015-04-21 20:05:49.111, clock=0]
Tile [id=null, cell=Cell [x=0, y=1], subject=green, time=2015-04-21 20:05:48.957, clock=0]
Tile [id=null, cell=Cell [x=3, y=4], subject=orange, time=2015-04-21 20:05:48.98, clock=0]
Tile [id=null, cell=Cell [x=0, y=3], subject=orange, time=2015-04-21 20:05:48.96, clock=0]
Tile [id=null, cell=Cell [x=2, y=1], subject=red, time=2015-04-21 20:05:48.97, clock=0]
Tile [id=null, cell=Cell [x=2, y=1], subject=red, time=2015-04-21 20:05:49.116, clock=0]
Tile [id=null, cell=Cell [x=2, y=0], subject=red, time=2015-04-21 20:05:28.586, clock=0]
Tile [id=null, cell=Cell [x=4, y=4], subject=green, time=2015-04-21 20:05:48.984, clock=0]
Tile [id=null, cell=Cell [x=2, y=2], subject=green, time=2015-04-21 20:05:28.589, clock=0]
Tile [id=null, cell=Cell [x=3, y=2], subject=purple, time=2015-04-21 20:05:28.596, clock=0]
