2015-04-28 15:14:13,464 CONFIG [com.gigaspaces.logger] - Log file: /Users/dxd/gigaspaces-xap-premium-9.5.1-ga/logs/2015-04-28~15.14-gigaspaces-service-128.243.23.149-9992.log
-------------------------last log tuples start--------------------------------
Prohibition [subject=a10, prohibition=[at(3, 3, a10)], sanction=[reduce(a10, 50)], clock=0, time=2015-04-28 14:51:28.052]
Time [clock=117, time=null]
Obligation [subject=a20, obligation=[at(0, 1, a20)], sanction=[reduce(a20, 500)], deadline=6, time=2015-04-28 14:51:28.093, clock=0]
Obligation [subject=g, obligation=[surround(1, 1)], sanction=[reduce(g, 500)], deadline=6, time=2015-04-28 14:51:28.082, clock=0]
Obligation [subject=a30, obligation=[at(2, 1, a30)], sanction=[reduce(a30, 500)], deadline=6, time=2015-04-28 14:51:28.101, clock=0]
Time [clock=87, time=null]
Time [clock=118, time=null]
Obligation [subject=a10, obligation=[at(1, 0, a10)], sanction=[reduce(a10, 500)], deadline=6, time=2015-04-28 14:51:28.09, clock=0]
Time [clock=135, time=null]
Time [clock=116, time=null]
Time [clock=112, time=null]
Obligation [subject=a40, obligation=[at(1, 2, a40)], sanction=[reduce(a40, 500)], deadline=6, time=2015-04-28 14:51:28.103, clock=0]
Points [subject=a10, time=2015-04-28 14:51:48.089, clock=7, value=750, id=null]
Points [subject=a40, time=2015-04-28 14:51:48.092, clock=7, value=750, id=null]
Points [subject=a10, time=2015-04-28 14:51:28.133, clock=5, value=950, id=null]
Points [subject=a40, time=2015-04-28 14:51:48.074, clock=7, value=500, id=null]
Time [clock=134, time=null]
Points [subject=a20, time=2015-04-28 14:51:48.067, clock=7, value=500, id=null]
Points [subject=a10, time=2015-04-28 14:51:48.064, clock=7, value=500, id=null]
Points [subject=a30, time=2015-04-28 14:51:48.072, clock=7, value=500, id=null]
Time [clock=131, time=null]
Time [clock=136, time=null]
Time [clock=141, time=null]
Time [clock=96, time=null]
Time [clock=97, time=null]
Time [clock=140, time=null]
Time [clock=119, time=null]
Time [clock=133, time=null]
Time [clock=129, time=null]
Time [clock=125, time=null]
Time [clock=139, time=null]
Time [clock=138, time=null]
Time [clock=128, time=null]
Time [clock=130, time=null]
Time [clock=86, time=null]
Time [clock=122, time=null]
Time [clock=127, time=null]
Time [clock=114, time=null]
Time [clock=111, time=null]
Time [clock=106, time=null]
Time [clock=113, time=null]
Time [clock=98, time=null]
Time [clock=115, time=null]
Time [clock=95, time=null]
Time [clock=104, time=null]
Time [clock=82, time=null]
Time [clock=93, time=null]
Time [clock=137, time=null]
Time [clock=124, time=null]
Time [clock=80, time=null]
Time [clock=123, time=null]
Time [clock=121, time=null]
Time [clock=81, time=null]
Time [clock=105, time=null]
Time [clock=91, time=null]
Time [clock=126, time=null]
