-------------------------last log tuples start--------------------------------
Time [clock=22, time=2015-05-26 11:03:04.469]
org notification: Time [clock=22, time=2015-05-26 11:03:04.469]
org notification: Time [clock=22, time=2015-05-26 11:03:04.469]
org notification: Time [clock=22, time=2015-05-26 11:03:04.469]
org notification: Time [clock=22, time=2015-05-26 11:03:04.469]
Time [clock=30, time=2015-05-26 11:02:49.001]
org notification: Time [clock=22, time=2015-05-26 11:03:04.469]
org notification: Time [clock=22, time=2015-05-26 11:03:04.469]
org notification: Time [clock=30, time=2015-05-26 11:02:49.001]
org notification: Time [clock=30, time=2015-05-26 11:02:49.001]
org notification: Time [clock=30, time=2015-05-26 11:02:49.001]
org notification: Time [clock=30, time=2015-05-26 11:02:49.001]
org notification: Time [clock=30, time=2015-05-26 11:02:49.001]
org notification: Time [clock=30, time=2015-05-26 11:02:49.001]
Time [clock=2, time=2015-05-26 11:03:01.961]
org notification: Time [clock=2, time=2015-05-26 11:03:01.961]
org notification: Time [clock=2, time=2015-05-26 11:03:01.961]
org notification: Time [clock=2, time=2015-05-26 11:03:01.961]
org notification: Time [clock=2, time=2015-05-26 11:03:01.961]
org notification: Time [clock=2, time=2015-05-26 11:03:01.961]
org notification: Time [clock=2, time=2015-05-26 11:03:01.961]
Time [clock=31, time=2015-05-26 11:02:59.004]
org notification: Time [clock=31, time=2015-05-26 11:02:59.004]
org notification: Time [clock=31, time=2015-05-26 11:02:59.004]
org notification: Time [clock=31, time=2015-05-26 11:02:59.004]
org notification: Time [clock=31, time=2015-05-26 11:02:59.004]
org notification: Time [clock=31, time=2015-05-26 11:02:59.004]
org notification: Time [clock=31, time=2015-05-26 11:02:59.004]
Time [clock=6, time=2015-05-26 11:02:44.831]
org notification: Time [clock=6, time=2015-05-26 11:02:44.831]
org notification: Time [clock=6, time=2015-05-26 11:02:44.831]
org notification: Time [clock=6, time=2015-05-26 11:02:44.831]
org notification: Time [clock=6, time=2015-05-26 11:02:44.831]
org notification: Time [clock=6, time=2015-05-26 11:02:44.831]
org notification: Time [clock=6, time=2015-05-26 11:02:44.831]
Time [clock=7, time=2015-05-26 11:02:54.834]
org notification: Time [clock=7, time=2015-05-26 11:02:54.834]
org notification: Time [clock=7, time=2015-05-26 11:02:54.834]
org notification: Time [clock=7, time=2015-05-26 11:02:54.834]
org notification: Time [clock=7, time=2015-05-26 11:02:54.834]
org notification: Time [clock=7, time=2015-05-26 11:02:54.834]
org notification: Time [clock=7, time=2015-05-26 11:02:54.834]
Time [clock=21, time=2015-05-26 11:02:54.466]
org notification: Time [clock=21, time=2015-05-26 11:02:54.466]
org notification: Time [clock=21, time=2015-05-26 11:02:54.466]
org notification: Time [clock=21, time=2015-05-26 11:02:54.466]
org notification: Time [clock=21, time=2015-05-26 11:02:54.466]
org notification: Time [clock=21, time=2015-05-26 11:02:54.466]
org notification: Time [clock=21, time=2015-05-26 11:02:54.466]
Time [clock=8, time=2015-05-26 11:03:04.836]
org notification: Time [clock=8, time=2015-05-26 11:03:04.836]
org notification: Time [clock=8, time=2015-05-26 11:03:04.836]
org notification: Time [clock=8, time=2015-05-26 11:03:04.836]
org notification: Time [clock=8, time=2015-05-26 11:03:04.836]
org notification: Time [clock=8, time=2015-05-26 11:03:04.836]
org notification: Time [clock=8, time=2015-05-26 11:03:04.836]
Time [clock=34, time=2015-05-26 11:02:58.71]
org notification: Time [clock=34, time=2015-05-26 11:02:58.71]
org notification: Time [clock=34, time=2015-05-26 11:02:58.71]
org notification: Time [clock=34, time=2015-05-26 11:02:58.71]
org notification: Time [clock=34, time=2015-05-26 11:02:58.71]
org notification: Time [clock=34, time=2015-05-26 11:02:58.71]
org notification: Time [clock=34, time=2015-05-26 11:02:58.71]
Time [clock=33, time=2015-05-26 11:02:48.707]
org notification: Time [clock=33, time=2015-05-26 11:02:48.707]
org notification: Time [clock=33, time=2015-05-26 11:02:48.707]
org notification: Time [clock=33, time=2015-05-26 11:02:48.707]
org notification: Time [clock=33, time=2015-05-26 11:02:48.707]
org notification: Time [clock=33, time=2015-05-26 11:02:48.707]
org notification: Time [clock=33, time=2015-05-26 11:02:48.707]
Time [clock=14, time=2015-05-26 11:02:59.182]
org notification: Time [clock=14, time=2015-05-26 11:02:59.182]
org notification: Time [clock=14, time=2015-05-26 11:02:59.182]
org notification: Time [clock=14, time=2015-05-26 11:02:59.182]
org notification: Time [clock=14, time=2015-05-26 11:02:59.182]
org notification: Time [clock=14, time=2015-05-26 11:02:59.182]
org notification: Time [clock=14, time=2015-05-26 11:02:59.182]
Time [clock=1, time=2015-05-26 11:02:51.958]
org notification: Time [clock=1, time=2015-05-26 11:02:51.958]
org notification: Time [clock=1, time=2015-05-26 11:02:51.958]
org notification: Time [clock=1, time=2015-05-26 11:02:51.958]
org notification: Time [clock=1, time=2015-05-26 11:02:51.958]
org notification: Time [clock=1, time=2015-05-26 11:02:51.958]
org notification: Time [clock=1, time=2015-05-26 11:02:51.958]
Time [clock=13, time=2015-05-26 11:02:49.18]
org notification: Time [clock=13, time=2015-05-26 11:02:49.18]
org notification: Time [clock=13, time=2015-05-26 11:02:49.18]
org notification: Time [clock=13, time=2015-05-26 11:02:49.18]
org notification: Time [clock=13, time=2015-05-26 11:02:49.18]
org notification: Time [clock=13, time=2015-05-26 11:02:49.18]
org notification: Time [clock=13, time=2015-05-26 11:02:49.18]
Time [clock=20, time=2015-05-26 11:02:44.464]
org notification: Time [clock=20, time=2015-05-26 11:02:44.464]
org notification: Time [clock=20, time=2015-05-26 11:02:44.464]
org notification: Time [clock=20, time=2015-05-26 11:02:44.464]
org notification: Time [clock=20, time=2015-05-26 11:02:44.464]
