2015-07-01 10:26:50,474 CONFIG [com.gigaspaces.logger] - Log file: /Users/dxd/gigaspaces-xap-premium-9.5.1-ga/logs/2015-07-01~10.26-gigaspaces-service-192.168.0.40-15674.log
-------------------------last log tuples start--------------------------------
-------------------------last log tuples end----------------------------------
[CTAH] started agent 10
[CTAH] Added a new agent to the game by the name of 10.
[ENV] added agent a10
[CTAH] started agent 30
[CTAH] Added a new agent to the game by the name of 30.
[ENV] added agent a30
[CTAH] started agent 40
[CTAH] Added a new agent to the game by the name of 40.
[ENV] added agent a40
#########################Game started
#########################Game started
#########################Game started
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is 
setPhases in ClientGameStatus, the current phase is Setup Phase
setPhases in ClientGameStatus, the current phase is Setup Phase
setPhases in ClientGameStatus, the current phase is Setup Phase
object notification: Tile [id=null, cell=Cell [x=0, y=0], subject=brown, time=2015-07-01 10:28:14.365, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=0], subject=brown, time=2015-07-01 10:28:14.365, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=0], subject=brown, time=2015-07-01 10:28:14.365, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=0], subject=brown, time=2015-07-01 10:28:14.365, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=1], subject=white, time=2015-07-01 10:28:14.525, clock=0]
org notification: Tile [id=null, cell=Cell [x=0, y=1], subject=white, time=2015-07-01 10:28:14.525, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=1], subject=white, time=2015-07-01 10:28:14.525, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=2], subject=blue, time=2015-07-01 10:28:14.526, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=2], subject=blue, time=2015-07-01 10:28:14.526, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=1], subject=white, time=2015-07-01 10:28:14.525, clock=0]
object notification: Tile [id=null, cell=Cell [x=0, y=2], subject=blue, time=2015-07-01 10:28:14.526, clock=0]
